CODI_LLAR 	CODI_PERSONA 	T1_ID_SEC_TRIM 	T1_DATA_DIA 	T1_DATA_MES 	T1_DATA_ANY 	T2_HH_INICI 	T2_MM_INICI 	T6_HH_FI 	T6_MM_FI 	T7_QUAN 	T7_QUAN_TARD 	T7_TIPUS_DIA 	T7_INUSUAL_1 	T7_INUSUAL_2 	T7_INUSUAL_3 	T7_INUSUAL_4 	T7_VIATGE 	T7_VIATGE_KM 	T7_T_REMUNERAT 	curaper 	treball 	estudi 	llarfam 	volreun 	vidsoc 	esport 	aficc 	mitjcom 	trajecte 	curaper2 	treball2 	estudi2 	llarfam2 	volreun2 	vidsoc2 	esport2 	aficc2 	mitjcom2 	trajecte2 	dormir 	menjar 	altrecur 	trebprin 	altretreb 	estudis_ne 	estudis 	estudis_tll 	llarfam_ne 	culin 	mantllar 	confecc 	jardi 	repar 	compra 	gestio 	curanen 	curadul 	organit 	altllar 	particip 	sociabil 	cultura 	lleurepa 	exfis 	exprod 	altresp 	art   	informat 	jocs  	lectura 	Tele  	radio 	desplaç_fi 	desplaç_treb 	desplaç_est 	desplaç_llarfam 	desplaç_vol 	desplaç_vidsoc 	desplaç_tll 	desplaç_muni 	codis_aux 	total_hores_dia 	dormir2 	menjar2 	altrecur2 	trebprin2 	altretreb2 	estudis_ne2 	estudis2 	estudis_tll2 	llarfam_ne2 	culin2 	mantllar2 	confecc2 	jardi2 	repar2 	compra2 	gestio2 	curanen2 	curadul2 	organit2 	altllar2 	particip2 	sociabil2 	cultura2 	lleurepa2 	exfis2 	exprod2 	altresp2 	art2 	informat2 	jocs2 	lectura2 	tele2 	radio2 	desplaç_fi2 	desplaç_treb2 	desplaç_est2 	desplaç_llarfam2 	desplaç_vol2 	desplaç_vidsoc2 	desplaç_tll2 	desplaç_muni2 	codis_aux2 	aprin_6 	aprin_7 	aprin_8 	aprin_9 	aprin_10 	aprin_11 	aprin_12 	aprin_13 	aprin_14 	aprin_15 	aprin_16 	aprin_17 	aprin_18 	aprin_19 	aprin_20 	aprin_21 	aprin_22 	aprin_23 	aprin_24 	aprin_1 	aprin_2 	aprin_3 	aprin_4 	aprin_5 	DIM_MUN 	SectorsActivitats
1	1	4	8	11	10	0	0	8	0	3		1		             			1		6	39600	0	0	6600	1200	2400	19200	0	13800	3600	1			1	1	1	1		1	1	29400	7200	3000	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	1200	0	0	0	2400	19200	0	0	0	0	0	2400	11400	0	0	0	0	0	3600	0	0	0	0	86400	1	1	1			            			            	1										1				1	1	        					1	1						1					0	0	0	6	6	6	9	5	0	9	8	8	6	6	3	0	3	8	0	0	0	0	0	0	1	99
1	2	4	8	11	10	0	0	8	0	3		1		             			1		6	44400	0	0	16800	3000	0	10200	0	12000	0	1			1	1		1		1		33600	7800	3000	0	0	0	0	0	0	12000	0	4800	0	0	0	0	0	0	0	3000	0	0	0	0	10200	0	0	0	0	0	3600	8400	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1		1								1					1	        					1	1											0	0	0	6	6	6	3	3	0	3	0	8	3	8	3	0	3	8	0	0	0	0	0	0	1	99
4	1	4	12	11	10	0	0	9	0	4	3	1		             			1		6	42600	0	0	24000	6600	0	0	0	9600	3600	1			1	1				1	1	31800	7800	3000	0	0	0	0	0	0	7200	3600	3600	7200	0	2400	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	0	0	9600	0	0	0	0	3600	0	0	0	0	0	86400	1	1	1			            			            	1	1	1	1		1					1						        						1					1						0	0	0	0	3	0	3	3	0	3	3	4	4	3	3	0	8	8	0	0	0	0	0	0	1	99
5	1	4	13	11	10	0	0	10	0	3		1		             			1		1	43800	0	0	23400	0	600	4800	0	10200	3600	1			1		1	1		1	1	32400	8400	3000	0	0	0	0	0	0	1800	1800	10800	0	0	9000	0	0	0	0	0	0	600	0	0	4800	0	0	0	0	0	0	10200	0	0	0	0	2400	0	0	1200	0	0	86400	1	1	1			            			            	1	1	1			1							1			1	        						1					1			1			0	0	0	0	3	9	9	3	3	0	8	8	6	9	3	8	0	8	0	0	0	0	0	0	1	4
5	2	4	13	11	10	0	0	10	0	3		1		             			1		1	43200	0	0	14400	0	1800	4200	0	18600	4200	1			1		1	1		1	1	31200	8400	3600	0	0	0	0	0	0	3600	600	0	0	0	10200	0	0	0	0	0	0	1800	0	0	4200	0	0	0	0	0	6000	12600	0	0	0	0	3600	0	0	600	0	0	86400	1	1	1			            			            	1	1				1							1			1	        					1	1					1			1			0	0	0	3	8	9	9	3	3	0	8	6	6	9	8	8	0	8	0	0	0	0	0	0	1	4
5	3	4	13	11	10	2	30	11	30	3		1		             			2	20	1	37800	0	0	7800	0	9600	0	1800	21600	7800	1			1		1		1	1	1	17400	16800	3000	0	0	0	0	0	0	3000	3000	0	0	0	1800	0	0	0	0	0	0	9600	0	0	0	0	0	0	1800	0	0	13200	8400	0	0	0	1200	0	600	6000	0	0	86400	1	1	1			            			            	1	1				1							1				        			1			1	1				1		1	1			0	0	0	0	0	0	9	9	0	0	8	8	8	9	5	0	3	5	8	5	8	0	8	0	1	4
6	1	4	13	11	10	1	0	10	15	3		1		             			1		1	40800	0	0	15600	0	13200	0	3600	10800	2400	1			1		1		1	1	1	32400	6600	1800	0	0	0	0	0	0	0	0	0	5400	7200	3000	0	0	0	0	0	0	5400	0	7800	0	0	0	0	0	3600	0	10800	0	0	0	0	2400	0	0	0	0	0	86400	1	1	1			            			            				1	1	1							1		1		        				1		1					1						0	0	0	0	0	9	3	3	8	0	5	5	1	1	7	0	8	8	5	0	0	0	0	0	1	4
6	2	4	13	11	10	1	0	10	0	3		1		             			1		1	45000	0	0	18000	0	11400	0	0	9600	2400	1			1		1			1	1	36000	7800	1200	0	0	0	0	0	0	5400	1800	7200	0	0	3600	0	0	0	0	0	0	7800	0	3600	0	0	0	0	0	0	3600	6000	0	0	0	0	1800	0	600	0	0	0	86400	1	1	1			            			            	1	1	1			1							1		1		        					1	1					1		1				0	0	0	0	0	9	3	3	3	0	5	0	3	3	8	0	5	8	5	0	0	0	0	0	1	4
8	1	4	14	11	10	23	30	6	0	2		1		             			1		6	47400	0	0	10200	0	6600	0	7200	13800	1200	1			1		1		1	1	1	34200	8400	4800	0	0	0	0	0	0	7800	0	0	0	0	2400	0	0	0	0	0	0	0	0	6600	0	0	0	0	7200	0	7200	6600	0	0	0	0	1200	0	0	0	0	0	86400	1	1	1			            			            	1					1									1		        			1		1	1					1						0	0	0	0	9	8	8	7	7	5	0	0	3	3	8	8	0	8	0	0	0	0	0	0	1	99
8	2	4	14	11	10	0	0	6	0	2		1		             			1		1	40200	0	0	37800	0	6600	0	0	1200	600	1			1		1			1	1	27000	9600	3600	0	0	0	0	0	0	15000	6000	16800	0	0	0	0	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	1200	0	0	600	0	0	0	0	0	0	0	86400	1	1	1			            			            	1	1	1												1		        						1			1								0	0	0	3	3	3	3	3	3	3	3	5	3	5	3	3	0	3	0	0	0	0	0	0	1	4
8	3	4	14	11	10	23	30	9	0	2		1		             			1		6	48600	0	0	17400	0	0	0	10200	10200	0	1			1				1	1		37800	9000	1800	0	0	0	0	0	0	6600	7800	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10200	0	6600	3600	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1	1	1														        			1		1	1											0	0	0	0	0	3	3	3	3	3	8	8	0	7	7	7	0	8	0	0	0	0	0	0	1	99
9	1	4	25	11	10	23	30	7	10	4	4	1		             			1		1	33600	33600	0	9000	4800	1800	0	0	2400	1200	1	1		1	1	1			1	1	26400	4200	3000	33600	0	0	0	0	0	2400	2400	0	0	0	0	0	4200	0	0	0	4800	0	0	1800	0	0	0	0	0	0	0	2400	0	0	0	0	0	1200	0	0	0	0	86400	1	1	1	1		            			            	1	1						1				1			1		        						1						1					0	0	3	1	1	1	1	3	3	1	1	1	1	1	1	0	4	9	0	0	0	0	0	0	1	3
9	2	4	25	11	10	23	20	7	30	4	4	1		             			1		1	33000	0	0	39000	1800	600	0	0	1800	10200	1			1	1	1			1	1	24000	7800	1200	0	0	0	0	0	0	8400	5400	6600	0	0	3000	0	15600	0	0	1800	0	600	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	10200	0	0	0	0	0	86400	1	1	1			            			            	1	1	1			1		1			1		1				        						1					1						3	3	3	3	9	3	3	3	0	9	3	3	9	3	3	0	3	8	0	0	0	0	0	0	1	4
9	3	4	25	11	10	22	0	7	45	4	4	1		             			1		6	40200	0	32400	0	0	0	4200	0	4200	5400	1		1				1		1	1	28200	9000	3000	0	0	0	32400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4200	0	0	0	0	0	0	4200	0	0	0	3000	0	0	0	2400	0	0	86400	1	1	1			            	1		            																1	        						1				1				1			0	2	0	2	2	0	2	9	0	2	2	0	6	2	2	8	0	0	0	0	0	0	0	0	1	99
18	1	4	7	12	10	23	0	7	30	3		2		             	1		1		1	34800	6600	0	33000	0	0	600	2400	6000	3000	1	1		1			1	1	1	1	30600	3000	1200	6600	0	0	0	0	0	1200	0	0	0	0	600	0	31200	0	0	0	0	0	0	0	600	0	0	0	2400	0	3600	2400	0	0	0	0	3000	0	0	0	0	0	86400	1	1	1	1		            			            	1					1		1								1	        			1		1	1					1						0	0	0	3	3	3	3	3	9	6	3	9	3	8	8	8	1	7	0	0	0	0	0	0	1	2
18	2	4	7	12	10	23	0	7	30	3		2		             		1	1		1	31800	31800	0	3600	0	1200	1200	2400	5400	9000	1	1		1		1	1	1	1	1	30000	600	1200	28800	3000	0	0	0	0	0	0	0	0	0	0	0	3600	0	0	0	0	0	0	1200	1200	0	0	0	2400	0	0	5400	0	0	6600	0	0	0	2400	0	0	0	86400	1	1	1	1	1	            			            								1							1	1	        			1			1			1				1				0	0	0	1	1	1	1	6	5	6	1	1	1	1	9	8	8	7	0	0	0	0	0	0	1	4
22	1	4	11	12	10	23	10	9	0	3		1		             			1		1	34200	19800	0	12000	0	0	0	0	15600	4800	1	1		1					1	1	24600	7800	1800	19800	0	0	0	0	0	4200	3600	0	4200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4200	11400	0	0	2400	0	2400	0	0	0	0	0	86400	1	1	1	1		            			            	1	1		1													        					1	1			1		1						0	1	1	1	1	1	1	3	9	0	8	8	8	8	3	0	8	8	0	0	0	0	0	0	1	2
26	1	1	3	3	11	23	30	7	0	3		1		             			1		1	31200	28200	7200	9000	0	0	0	4800	1800	4200	1	1	1	1				1	1	1	25800	3000	2400	28200	0	0	0	7200	0	5400	0	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800	0	0	0	1800	0	0	2400	600	0	0	0	1200	0	0	86400	1	1	1	1		            		1	            	1		1														        		1				1			1	1				1			0	0	1	1	1	1	1	9	3	1	1	1	9	3	2	2	9	7	0	0	0	0	0	0	1	2
26	2	1	3	3	11	22	0	10	30	3		1		             			1		1	33600	22200	7800	12000	0	0	0	0	0	10800	1	1	1	1						1	27600	4800	1200	22200	0	0	0	7800	0	0	0	0	9600	0	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400	2400	1800	0	0	1200	0	0	86400	1	1	1	1		            		1	            				1		1											        									1	1	1			1			0	9	1	1	1	1	1	1	1	0	3	3	3	3	2	2	9	0	0	0	0	0	0	0	1	2
26	3	1	3	3	11	12	0	10	0	3		1		             			1		6	46800	0	16800	1800	0	3000	0	6600	7200	4200	1		1	1		1		1	1	1	41400	2400	3000	0	0	0	16800	0	0	1800	0	0	0	0	0	0	0	0	0	0	0	2400	0	600	0	0	0	0	6600	0	0	7200	0	0	0	4200	0	0	0	0	0	0	86400	1	1	1			            	1		            	1												1		1		        			1			1				1							0	0	0	0	0	0	0	8	7	9	2	2	2	2	2	9	0	7	8	0	0	0	0	0	1	99
26	4	1	3	3	11	23	0	7	15	3		1		             			1		6	33600	0	30600	0	0	2400	0	8400	5400	6000	1		1			1		1	1	1	30600	1200	1200	0	0	0	30600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400	0	0	0	0	8400	0	0	5400	0	0	0	6000	0	0	0	0	0	0	86400	1	1	1			            	1		            															1		        			1			1				1							0	0	2	2	2	2	2	2	0	2	2	9	9	2	8	7	7	0	0	0	0	0	0	0	1	99
28	1	1	4	3	11	22	30	7	0	2		1		             			1		1	38400	33000	0	600	0	0	0	0	10200	4200	1	1		1					1	1	31800	5400	600	33000	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10200	0	0	4200	0	0	0	0	0	0	0	86400	1	1	1	1		            			            						1											        						1			1								0	3	1	0	1	1	1	9	0	1	1	1	1	8	0	8	0	0	0	0	0	0	0	0	1	3
28	2	1	4	3	11	22	30	7	0	3		1		             			1		6	42600	0	0	32400	0	0	3600	0	1800	6000	1			1			1		1	1	31800	3000	5400	0	0	0	0	0	0	7800	16200	2400	0	0	6000	0	0	0	0	0	0	0	0	0	3600	0	0	0	0	0	0	1800	0	6000	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1	1	1			1										1	        						1		1									0	0	3	3	3	9	3	9	3	3	3	6	3	3	0	0	0	0	0	0	0	0	0	0	1	99
28	3	1	4	3	11	23	30	5	10	1		1		             			1		6	56400	0	0	6600	0	1200	7200	0	4200	10800	1			1		1	1		1	1	43200	12000	1200	0	0	0	0	0	0	2400	600	0	0	3600	0	0	0	0	0	0	0	1200	0	0	7200	0	0	0	0	0	0	4200	0	0	600	0	0	0	1800	8400	0	0	86400	1	1	1			            			            	1	1			1								1			1	        						1			1				1	1			0	0	0	0	0	3	9	9	3	0	6	6	9	0	8	0	0	0	0	0	0	0	0	0	1	2
28	4	1	4	3	11	22	0	10	0	3		1		             			1		6	44400	0	34200	0	0	0	0	0	5400	2400	1		1						1	1	34800	7800	1800	0	0	0	34200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400	0	0	0	2400	0	0	0	0	0	0	86400	1	1	1			            	1		            																	        						1				1							0	0	2	2	2	2	2	2	2	0	2	2	2	8	8	0	0	0	0	0	0	0	0	0	1	99
31	1	1	6	3	11	23	0	8	45	1		1		             			1		6	45000	0	0	10200	0	0	0	9000	22200	0	1			1				1	1		33000	7200	3600	0	0	0	0	0	0	3000	3600	600	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200	1800	0	22200	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1	1	1	1													        			1	1		1											0	0	0	0	0	7	7	3	0	8	0	8	8	7	3	8	8	8	0	0	0	0	0	0	1	2
31	2	1	6	3	11	23	30	7	45	3		1		             			1		1	55200	0	0	600	0	0	5400	6600	18600	0	1			1			1	1	1		48000	4200	600	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400	0	0	0	6600	0	0	18600	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1															1	        			1			1											0	0	0	0	0	6	8	8	0	7	7	8	8	8	0	0	0	0	0	0	0	0	0	0	1	2
31	3	1	6	3	11	2	0	9	30	2		1		             			1		1	46200	0	1800	6000	0	9600	2400	3600	11400	5400	1		1	1		1	1	1	1	1	34800	7800	3600	0	0	0	1800	0	0	5400	600	0	0	0	0	0	0	0	0	0	0	1800	6000	1800	2400	0	0	0	3600	0	3000	6000	2400	0	0	0	0	0	1200	4200	0	0	86400	1	1	1			            	1		            	1	1											1	1	1	1	        			1		1	1	1						1	1			0	0	0	0	0	0	9	3	3	0	3	7	9	5	5	9	0	8	5	0	0	0	0	0	1	99
31	4	1	6	3	11	2	15	10	40	1		2		             	1		1		6	52200	0	4800	2400	0	600	0	12600	12600	1200	1		1	1		1		1	1	1	43200	8400	600	0	0	0	4800	0	0	1800	600	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	12600	0	0	12600	0	0	0	0	0	0	0	1200	0	0	86400	1	1	1			            	1		            	1	1											1				        			1			1								1			5	0	0	0	0	0	0	0	0	0	8	2	0	8	7	7	0	8	7	7	0	0	0	0	1	99
33	1	2	26	4	11	0	0	10	0	1		1		             			1		6	46200	18600	0	2400	0	0	0	0	19200	0	1	1		1					1		40800	4800	600	0	18600	0	0	0	0	0	0	0	0	0	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19200	0	0	0	0	0	0	0	0	0	0	86400	1	1	1		1	            			            						1											        						1											0	0	0	0	0	1	1	1	1	8	0	3	1	8	8	8	8	8	0	0	0	0	0	0	3	99
33	2	2	26	4	11	6	0	6	30	2		1		             			1		1	29400	30000	0	3600	0	0	7200	0	8400	7800	1	1		1			1		1	1	24000	4800	600	30000	0	0	0	0	0	1800	600	0	0	0	1200	0	0	0	0	0	0	0	0	0	7200	0	0	0	0	0	0	8400	0	0	4200	0	0	600	0	3000	0	0	86400	1	1	1	1		            			            	1	1				1										1	        						1			1			1		1			9	1	1	1	1	1	1	1	1	1	8	8	6	6	9	0	8	0	0	0	0	0	0	0	3	2
35	1	2	26	4	11	23	0	8	0	3		1		             			1		6	45600	0	0	20400	0	0	7200	3600	3000	6600	1			1			1	1	1	1	36000	4200	3600	0	0	0	0	0	0	3600	1200	3600	1200	0	1800	0	9000	0	0	0	0	0	0	0	7200	0	0	0	3600	0	0	3000	0	0	0	0	6600	0	0	0	0	0	86400	1	1	1			            			            	1	1	1	1		1		1								1	        			1			1					1						0	0	0	9	6	3	3	9	8	3	3	9	3	3	0	3	7	0	0	0	0	0	0	0	3	99
35	2	2	26	4	11	23	0	8	0	3		1		             			1		6	46200	0	0	3600	6000	0	6600	15600	7800	600	1			1	1		1	1	1	1	36000	4800	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	3600	0	0	6000	0	0	0	0	6600	0	0	0	15600	0	0	7800	0	0	0	0	0	600	0	0	0	0	86400	1	1	1			            			            								1			1					1	        			1			1						1					0	0	0	4	4	7	7	7	8	0	7	7	6	0	0	3	8	0	0	0	0	0	0	0	3	99
36	1	2	26	4	11	0	30	7	30	1		1		             			1		6	33600	0	33000	1200	0	8400	0	0	6600	3600	1		1	1		1			1	1	27600	3600	2400	0	0	0	33000	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	8400	0	0	0	0	0	0	0	0	0	6600	0	0	0	3600	0	0	0	0	0	0	86400	1	1	1			            	1		            	1												1				        						1				1							0	0	2	2	2	2	2	2	9	0	0	2	2	5	2	8	8	5	0	0	0	0	0	0	3	99
36	2	2	26	4	11	1	10	7	20	3		1		             			1		1	38400	20400	0	16800	0	5400	0	0	1800	3600	1	1		1		1			1	1	34200	2400	1800	18000	2400	0	0	0	0	5400	3600	6000	0	0	1800	0	0	0	0	0	0	0	0	5400	0	0	0	0	0	0	600	1200	0	0	3600	0	0	0	0	0	0	0	86400	1	1	1	1	1	            			            	1	1	1			1									1		        					1	1			1								0	0	0	0	3	1	1	1	5	1	1	1	3	3	3	3	3	5	0	0	0	0	0	0	3	4
37	1	2	29	4	11	23	0	9	0	4	2	1		             			1		1	49200	26400	0	1800	0	4200	0	0	0	4800	1	1		1		1				1	37200	8400	3600	26400	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	0	0	4800	0	0	0	0	0	0	0	86400	1	1	1	1		            			            	1												1				        									1								0	0	0	0	3	9	1	1	1	0	1	1	1	1	9	5	5	0	0	0	0	0	0	0	3	4
37	2	2	29	4	11	22	0	6	45	4	4	1		             			1		1	31800	27600	0	9600	2400	4800	0	0	4200	6000	1	1		1	1	1			1	1	26400	4800	600	27600	0	0	0	0	0	5400	0	0	0	0	4200	0	0	0	0	0	2400	4800	0	0	0	0	0	0	0	0	2400	1800	0	0	3600	0	2400	0	0	0	0	0	86400	1	1	1	1		            			            	1					1						1	1				        					1	1			1		1						0	3	9	1	1	1	1	1	1	0	1	9	3	9	8	5	5	8	0	0	0	0	0	0	3	4
37	3	2	29	4	11	22	15	6	45	3		1		             			1		6	33600	0	27000	5400	3000	1200	1200	0	7800	7200	1		1	1	1	1	1		1	1	28800	3000	1800	0	0	0	27000	0	0	1200	0	0	0	0	4200	0	0	0	0	0	3000	1200	0	0	1200	0	0	0	0	0	1800	6000	0	0	0	6000	1200	0	0	0	0	0	86400	1	1	1			            	1		            	1					1						1	1			1	        					1	1				1	1						0	0	9	2	2	2	2	2	0	2	2	9	3	9	2	8	8	0	0	0	0	0	0	0	3	99
37	4	2	29	4	11	21	15	7	0	3		1		             			1		6	39000	0	23400	1200	3000	0	7800	0	3600	8400	1		1	1	1		1		1	1	31800	6000	1200	0	0	0	23400	0	0	1200	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	7800	0	0	0	0	0	0	3600	0	600	0	7800	0	0	0	0	0	0	86400	1	1	1			            	1		            	1											1				1	        						1		1		1							0	0	9	2	2	2	2	0	2	2	6	9	2	8	6	4	0	0	0	0	0	0	0	0	3	99
38	1	2	29	4	11	23	30	8	15	2		1		             			1		6	43200	0	0	3000	10800	1200	4200	0	19200	4800	1			1	1	1	1		1	1	34200	6000	3000	0	0	0	0	0	0	1800	600	0	0	0	600	0	0	0	0	10800	0	1200	0	0	4200	0	0	0	0	0	6000	13200	0	0	0	0	0	4200	0	600	0	0	86400	1	1	1			            			            	1	1				1					1		1			1	        					1	1						1		1			0	0	0	0	6	9	4	4	4	0	9	8	8	8	8	0	5	0	0	0	0	0	0	0	3	99
40	1	2	30	4	11	23	30	9	0	3		1		             			1		1	47400	0	0	16200	0	3600	13800	0	4200	1200	1			1		1	1		1	1	29400	13800	3600	0	0	0	0	0	0	4200	0	0	0	8400	3600	0	0	0	0	0	0	0	3600	0	13800	0	0	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	1200	86400	1	1	1			            			            	1				1	1								1		1	        						1										1	0	0	0	0	0	1	3	6	6	6	0	5	3	0	6	6	3	0	8	0	0	0	0	0	3	4
40	2	2	30	4	11	23	50	10	0	3		1		             			1		6	48000	0	0	15000	0	3600	13800	0	4800	1200	1			1		1	1		1	1	31200	12600	3600	0	0	0	0	0	0	6000	6600	0	0	0	2400	0	0	0	0	0	0	0	3600	0	13800	0	0	0	0	0	0	4800	0	0	0	0	0	0	0	0	0	1200	86400	1	1	1			            			            	1	1				1								1		1	        						1										1	0	0	0	0	0	0	3	6	6	6	0	5	3	0	6	6	3	0	8	8	0	0	0	0	3	4
41	1	2	1	5	11	2	0	7	0	3		1		             			1		6	39000	0	32400	1800	0	0	0	0	13200	0	1		1	1					1		27000	10200	1800	0	0	0	0	32400	0	0	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13200	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            		1	            		1															        						1											0	0	0	0	2	2	8	8	2	0	2	2	3	2	2	2	0	8	8	0	0	0	0	0	3	99
43	1	2	31	5	11	0	0	6	0	1		1		             			1		1	28200	28800	0	12600	0	0	0	0	7200	9600	1	1		1					1	1	22200	4200	1800	28800	0	0	0	0	0	1200	0	0	0	0	0	0	11400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200	0	0	4200	0	5400	0	0	0	0	0	86400	1	1	1	1		            			            	1							1									        						1			1		1						0	1	1	1	1	1	1	1	1	9	0	9	3	3	9	3	8	8	0	0	0	0	0	0	3	2
43	2	2	31	5	11	23	0	7	0	1		1		             			1		1	33000	34200	4800	9600	0	0	0	0	2400	2400	1	1	1	1					1	1	30600	1800	600	34200	0	0	0	4800	0	0	4800	0	0	0	1800	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400	0	0	0	600	1800	0	0	0	0	0	86400	1	1	1	1		            		1	            		1				1		1									        						1				1	1						0	0	3	3	2	3	1	1	1	1	1	1	1	1	1	1	8	0	0	0	0	0	0	0	3	4
45	1	2	31	5	11	2	0	7	15	3		1		             			1		6	35400	0	0	23400	0	0	3600	4200	10200	9600	1			1			1	1	1	1	21000	7800	6600	0	0	0	0	0	0	7800	1200	0	0	0	7200	0	7200	0	0	0	0	0	0	0	3600	0	0	0	4200	0	0	10200	0	0	0	0	9000	0	0	600	0	0	86400	1	1	1			            			            	1	1				1		1								1	        			1			1					1			1			0	0	0	9	9	9	3	9	0	9	7	9	3	3	6	0	3	8	8	8	0	0	0	0	3	99
45	2	2	31	5	11	2	0	11	30	3		1		             			1		1	25800	36600	0	15000	0	4200	0	0	0	4800	1	1		1		1				1	21000	3000	1800	36600	0	0	0	0	0	600	0	0	0	0	0	0	14400	0	0	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	3600	0	1200	0	0	0	0	0	86400	1	1	1	1		            			            	1							1							1		        									1		1						1	1	1	1	1	1	9	5	0	0	0	0	3	3	3	3	0	0	0	0	1	1	1	1	3	4
45	3	2	31	5	11	22	30	7	15	3		1		             			1		6	39600	0	33000	600	0	2400	4800	0	0	6000	1		1	1		1	1			1	30000	4800	4800	0	0	0	33000	0	0	600	0	0	0	0	0	0	0	0	0	0	0	2400	0	0	4800	0	0	0	0	0	0	0	0	0	0	3600	0	0	0	2400	0	0	86400	1	1	1			            	1		            	1												1			1	        										1				1			0	0	0	2	2	2	2	2	5	9	2	9	2	6	6	0	0	2	0	0	0	0	0	0	3	99
46	1	2	31	5	11	0	30	8	15	3		1		             			1		6	40800	0	0	4800	0	7800	1200	0	31800	0	1			1		1	1		1		34200	5400	1200	0	0	0	0	0	0	2400	600	0	0	0	1800	0	0	0	0	0	0	4800	0	3000	1200	0	0	0	0	0	5400	26400	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1	1				1							1		1	1	        					1	1											0	0	0	6	8	8	5	0	8	0	0	8	8	8	3	0	8	8	8	0	0	0	0	0	3	99
46	2	2	31	5	11	22	45	7	0	3		1		             			1		6	44400	0	0	24600	0	3000	0	0	14400	0	1			1		1			1		30600	6000	7200	0	0	0	0	0	0	7200	4800	10800	0	0	1800	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	14400	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1	1	1			1							1				        						1											0	0	0	3	3	3	3	0	3	8	0	3	3	0	8	0	8	0	0	0	0	0	0	0	3	99
47	1	2	3	6	11	23	0	8	30	4	3	1		             			1		1	48600	36000	0	1800	0	0	0	0	0	0	1	1		1							46800	0	1800	36000	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86400	1		1	1		            			            			1														        																	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	4
48	1	2	3	6	11	0	30	10	30	3		2		             		1	1		1	40200	30000	0	0	0	7800	0	0	1800	6600	1	1				1			1	1	11400	24600	1800	28800	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7800	0	0	0	0	0	0	0	0	0	1800	0	0	2400	0	0	0	4200	0	0	0	86400	1	1	1	1	1	            			            													1				        						1			1				1				0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	9	0	0	0	0	5	5	5	0	3	4
49	1	2	4	6	11	23	0	7	10	3		1		             			1		1	45000	0	0	29400	0	0	0	0	12000	0	1			1					1		37200	7200	600	0	0	0	0	0	0	9000	7200	3000	0	0	0	0	10200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12000	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            	1	1	1					1									        						1											0	0	0	0	0	3	3	3	0	8	8	3	3	3	3	0	8	8	0	0	0	0	0	0	3	4
